,r2,neg_mean_squared_error,num_features,type
0,0.19719588105089503,-0.01795170142295186,1,only
1,0.966231888462958,-0.0007541642566268547,1,omit
2,0.3542826396191115,-0.014440693985085984,2,only
3,0.9613939312715396,-0.0008626640095926935,2,omit
4,0.5494183133836917,-0.010079913499967197,3,only
5,0.9614501242406724,-0.0008615871412950257,3,omit
6,0.8536920698873627,-0.0032716920070710886,4,only
7,0.9614519442348967,-0.0008616587115922841,4,omit
8,0.9669113968711184,-0.0007399878580921175,5,only
9,0.9616840275531934,-0.0008564143772297,5,omit
10,0.9673466829560503,-0.0007302527564576939,6,only
11,0.9619493070477828,-0.0008505784379371794,6,omit
12,0.9685278100123617,-0.0007036246882389548,7,only
13,0.9613357588175658,-0.0008640423567603243,7,omit
14,0.9680465214447933,-0.0007143878041954425,8,only
15,0.9613088732502785,-0.0008647354996997708,8,omit
16,0.9691878466923193,-0.0006890200199322652,9,only
17,0.960831848759955,-0.0008755112967322314,9,omit
18,0.9693202628585529,-0.0006862019937275816,10,only
19,0.9608578867765368,-0.0008748231791327496,10,omit
20,0.969598390081904,-0.0006799007004089664,11,only
21,0.9608326995292095,-0.0008754825872798484,11,omit
22,0.9697483831218103,-0.0006764584515225699,12,only
23,0.9607053274085259,-0.0008780104667258253,12,omit
24,0.9706626148001575,-0.0006560527089971613,13,only
25,0.9607977251848486,-0.0008760575258552802,13,omit
26,0.9709218490036902,-0.000650270163679764,14,only
27,0.9607223111180275,-0.0008779138993670788,14,omit
28,0.9710930403593602,-0.0006463672934380252,15,only
29,0.9607133278231096,-0.0008780396135126791,15,omit
30,0.9731244253102457,-0.0006013043853952928,16,only
31,0.9602130008153492,-0.0008891142790453218,16,omit
32,0.9733175627935937,-0.0005968762761564496,17,only
33,0.9605223552197685,-0.0008823287565614883,17,omit
34,0.9735988606972802,-0.0005907023787277547,18,only
35,0.9601427292816145,-0.0008908425007122171,18,omit
36,0.9733208593320856,-0.0005968595207131794,19,only
37,0.9601554292147206,-0.000890286424992697,19,omit
38,0.9733625929819397,-0.000595793077854467,20,only
39,0.9598912486033697,-0.0008963142288847805,20,omit
